SEARCH_ENGLISH|QUIZ_ENGLISH|SUBSECTION_ENGLISH|SEARCH_SPANISH|QUIZ_SPANISH|SUBSECTION_SPANISH|SEARCH_FRENCH|QUIZ_FRENCH|SUBSECTION_FRENCH|SEARCH_ITALIAN|QUIZ_ITALIAN|SUBSECTION_ITALIAN|SEARCH_CHINESE|QUIZ_CHINESE|SUBSECTION_CHINESE|SEARCH_ARABIC|QUIZ_ARABIC|SUBSECTION_ARABIC|SEARCH_RUSSIAN|QUIZ_RUSSIAN|SUBSECTION_RUSSIAN|X-Axis|Y-Axis|SOURCE IMAGE|SECTION
Anatomical Area, Digital|Digital Region|Anatomical Regions|Área Anatómica, Digital|Región Digital|Regiones Anatómicas|Zone Anatomique, Digitale|Région digitale|Zone Anatomique|Area Anatomica, Digitale|Regione Digitale|Regioni Anatomiche|解剖区域，指/趾|手指/腳趾地带|解剖区域|منطقة تشريحية، اصبعي|اصبعي|المناطق التشريحية|Пальцевая область|пальцевая область|Анатомические Регионы|946|2877|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Hallux|Hallux Region|Anatomical Regions|Área Anatómica, Hallux|Región Hallux|Regiones Anatómicas|Zone Anatomique, Hallux|Région de l'Hallux|Zone Anatomique|Area Anatomica, Alluce|Regione Dell'Alluce|Regioni Anatomiche|解剖区域，拇趾|拇趾地带|解剖区域|منطقة تشريحية، ابهام القدم|ابهام القدم|المناطق التشريحية|Область большого пальца ноги|область большого пальца ноги|Анатомические Регионы|886|2883|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Plantar|Plantar Region|Anatomical Regions|Área Anatómica, Planta|Región Plantar|Regiones Anatómicas|Zone Anatomique, Plantaire|Région plantaire|Zone Anatomique|Area Anatomica, Plantare|Regione Plantare|Regioni Anatomiche|解剖区域，足底|足底地带|解剖区域|منطقة تشريحية، أخمصي|أخمصي|المناطق التشريحية|Подошвенная область|Подошвенная область|Анатомические Регионы|2366|2811|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Pedal|Pedal Region|Anatomical Regions|Área Anatómica, Pedal|Región Pedal|Regiones Anatómicas|Zone Anatomique, Pied|Région du pied|Zone Anatomique|Area Anatomica, Podale|Regione Podale|Regioni Anatomiche|解剖区域，腳部|腳部地带|解剖区域|منطقة تشريحية، قدمي|قدمي|المناطق التشريحية|Область стопы|Область стопы|Анатомические Регионы|1012|2781|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Upper Limb|Upper Limb|Anatomical Regions|Área Anatómica, Extremidad Superior|Extremidad Superior|Regiones Anatómicas|Zone Anatomique, Membre Supérieur|Membre supérieur|Zone Anatomique|Area Anatomica, Arto superiore|Arto Superiore|Regioni Anatomiche|解剖区域，上肢|上肢|解剖区域|منطقة تشريحية، طرف علوي|طرف علوي|المناطق التشريحية|Область верхней конечности|Верхняя конечность|Анатомические Регионы|2036|1048|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Lower Limb|Lower Limb|Anatomical Regions|Área Anatómica, Extremidad Inferior|Extremidad Inferior|Regiones Anatómicas|Zone Anatomique, Membre Inférieur|Membre inférieur|Zone Anatomique|Area Anatomica, Arto inferiore|Arto Inferiore|Regioni Anatomiche|解剖区域，下肢|下肢|解剖区域|منطقة تشريحية، الطرف سفلي|الطرف سفلي|المناطق التشريحية|Область нижней конечности|Нижняя конечность|Анатомические Регионы|2180|2067|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Hypochondriac Right|Right Hypochondriac Region|Abdominal Areas|Área Anatómica, Abdomen,Hipocondríaca Derecho|Región Hipocondríaca Derecha|Áreas Abdominales|Zone Anatomique, Hypocondre droit|Région de l'hypocondre droit|Zones Abdominales|Area Anatomica, Addome, Ipocondrio destro|Regione Dell'Ipocondrio Destro|Aree Addominali|解剖区域，季肋，右|右季肋地带|腹部|منطقة تشريحية، الناحية المراقية اليمنى|الناحية المراقية اليمنى|مناطق البطن|Правая подреберная область живота|Правая подреберная область|Абдоминальные Области|485|485|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Epigastric|Epigastric Region|Abdominal Areas|Área Anatómica, Abdomen, Epigástrico|Región Epigástrica|Áreas Abdominales|Zone Anatomique, Épigastre|Région épigastrique|Zones Abdominales|Area Anatomica, Addome, Epigastrio|Regione Epigastrica|Aree Addominali|解剖区域，上腹|中上腹地带|腹部|منطقة تشريحية، البطن شرسوفي|شرسوفي البطن|مناطق البطن|Надчревная область живота|надчревная область|Абдоминальные Области|892|485|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Hypochondriac Left|Left Hypochondriac Region|Abdominal Areas|Área Anatómica, Abdomen, Hipocondríaca Izquierda|Región Hipocondríaca Izquierda|Áreas Abdominales|Zone Anatomique, Hypocondre gauche|Région de l'hypocondre gauche|Zones Abdominales|Area Anatomica, Addome, Ipocondrio sinistro|Regione Dell'Ipocondrio Sinistro|Aree Addominali|解剖区域，季肋，左|左季肋地带|腹部|منطقة تشريحية، البطن الناحية المراقية اليسرى|البطن الناحية المراقية اليسرى|مناطق البطن|Левая подреберная область живота|Левая подрёберная область|Абдоминальные Области|1276|485|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Lumbar Right|Right Lumbar Region|Abdominal Areas|Área Anatómica, Abdomen, Lumbar Derecho|Región Lumbar Derecha|Áreas Abdominales|Zone Anatomique, Lombaire droite|Région lombaire droite|Zones Abdominales|Area Anatomica, Addome, Fianco destro|Regione Del Fianco Destro|Aree Addominali|解剖区域，腰，右|右腰地带|腹部|منطقة تشريحية، البطن قطني الأيمن|البطن قطني الأيمن|مناطق البطن|Правая боковая область живота|Правая поясничная область|Абдоминальные Области|485|964|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Umbilical|Umbilical Region|Abdominal Areas|Área Anatómica, Abdomen, Umbilical|Región Umbilical|Áreas Abdominales|Zone Anatomique, Ombilique|Région ombilicale|Zones Abdominales|Area Anatomica, Addome, Mesogastrio|Regione Mesogastrica|Aree Addominali|解剖区域，脐区|脐区地带|腹部|منطقة تشريحية، البطن سري|البطن سري|مناطق البطن|Пупочная область живота|Пупочная область|Абдоминальные Области|892|964|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Lumbar Left|Left Lumbar Region|Abdominal Areas|Área Anatómica, Abdomen, Lumbar Izquierda|Región Lumbar Izquierda|Áreas Abdominales|Zone Anatomique, Lombaire Gauche|Région lombaire gauche|Zones Abdominales|Area Anatomica, Addome, Fianco sinistro|Regione Del Fianco Sinistro|Aree Addominali|解剖区域，腰，左|左腰地带|腹部|منطقة تشريحية، البطن قطني اليسار|البطن قطني اليسار|مناطق البطن|Левая боковая область живота|Левый поясничная область|Абдоминальные Области|1276|964|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Iliac Right|Right Iliac Region|Abdominal Areas|Área Anatómica, Abdomen, Ilíaca Derecha|Región Iliáca Derecha|Áreas Abdominales|Zone Anatomique, Fosse Iliaque Droite|Région Iliaque droite|Zones Abdominales|Area Anatomica, Addome, Fossa iliaca destra|Regione Della Fossa Iliaca Destra|Aree Addominali|解剖区域，腹股沟，右|右腹股沟地带|腹部|منطقة تشريحية، البطن حرقفي أيمن|البطن حرقفي أيمن|مناطق البطن|Правая подвздошная область живота|правая подвздошная область|Абдоминальные Области|485|1395|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Hypogastric|Hypogastric Region|Abdominal Areas|Área Anatómica, Abdomen, Hipogástrico|Región Hipogástrica|Áreas Abdominales|Zone Anatomique, Hypogastre|Région hypogastrique|Zones Abdominales|Area Anatomica, Addome, Ipogastrio|Regione Ipogastrica|Aree Addominali|解剖区域，腹部下腹|下腹部地带|腹部| منطقة تشريحية، دائرة، بطن، أسفل المعدة|أسفل المعدة|مناطق البطن|Надлобковая область живота|Гипогастральная область|Абдоминальные Области|892|1395|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Iliac Left|Left Iliac Region|Abdominal Areas|Área Anatómica, Abdomen, Ilíaca Izquierda|Región Iliáca Izquierda|Áreas Abdominales|Zone Anatomique, Fosse Iliaque Gauche|Région Iliaque gauche|Zones Abdominales|Area Anatomica, Addome, Fossa iliaca sinistra|Regione Della Fossa Iliaca Sinistra|Aree Addominali|解剖区域，腹股沟，左|左腹股沟地带|腹部|منطقة تشريحية، البطن حرقفي اليسار|البطن حرقفي اليسار|مناطق البطن|Левая подвздошная область живота|левая подвздошная область|Абдоминальные Области|1276|1395|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Upper Quadrant Right|Right Upper Quadrant|Abdominal Areas|Área Anatómica, Abdomen, Cuadrante Superior Derecho|Cuadrante Superior Derecho|Áreas Abdominales|Zone Anatomique, Quadrant Supérieur droit de l'abdomen|Quadrant supérieur droit|Zones Abdominales|Area Anatomica, Addome, Quadrante superiore destro |Quadrante Superiore Destro|Aree Addominali|解剖区域，腹部右上象限|右上象限|腹部|منطقة تشريحية، البطن الربع العلوي الايمن|البطن الربع العلوي الايمن|مناطق البطن|Верхний правый квадрант живота|Правый верхний квадрант|Абдоминальные Области|2391|670|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Upper Quadrant Left|Left Upper Quadrant|Abdominal Areas|Área Anatómica, Abdomen, Cuadrante Superior Izquierdo|Cuadrante Superior Izquierdo|Áreas Abdominales|Zone Anatomique, Quadrant supérieur gauche de l'abdomen|Quadrant supérieur gauche|Zones Abdominales|Area Anatomica, Addome, Quadrante superiore sinistro|Quadrante Superiore Sinistro|Aree Addominali|解剖区域，腹部左上象限|左上象限|腹部|منطقة تشريحية، البطن الربع العلوي الايسر|البطن الربع العلوي الايسر|مناطق البطن|Верхний левый квадрант живота|Левый верхний квадрант|Абдоминальные Области|2816|670|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Lower Quadrant Right|Right Lower Quadrant|Abdominal Areas|Área Anatómica, Cuadrante, Inferior del Abdomen Derecho|Cuadrante Inferior Derecho|Áreas Abdominales|Zone Anatomique, Quadrant inférieur droit de l'abdomen|Quadrant inférieur droit|Zones Abdominales|Area Anatomica, Addome, Quadrante inferiore destro |Quadrante Inferiore Destro|Aree Addominali|解剖区域，腹部右下象限|右下象限|腹部|منطقة تشريحية، البطن الربع السفلي الأيمن|البطن الربع السفلي الأيمن|مناطق البطن|Нижний правый квадрант живота|Правый нижний квадрант|Абдоминальные Области|2391|1198|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Area, Abdomen Lower Quadrant Left|Left Lower Quadrant|Abdominal Areas|Área Anatómica, Cuadrante, Inferior del Abdomen Izquierdo|Cuadrante Inferior Izquierdo|Áreas Abdominales|Zone Anatomique, Quadrant inférieur gauche de l'abdomen|Quadrant inférieur gauche|Zones Abdominales|Area Anatomica, Addome, Quadrante inferiore sinistro |Quadrante Inferiore Sinistro|Aree Addominali|解剖区域，腹部左下象限|左下象限|腹部|منطقة تشريحية، البطن الربع السفلي الايسر|البطن الربع السفلي الايسر|مناطق البطن|Нижний левый квадрант живота|Левый нижний квадрант|Абдоминальные Области|2816|1198|01 - ANATOMICAL REGIONS - 03.jpg|01 - Anatomical Regions
Anatomical Plane, Sagittal|Sagittal Plane||Plano Anatómico, Sagital|Plano Sagital||Plan Anatomique, Sagittal|Plan sagittal||Piano Anatomico, Sagittale|Piano Sagittale||解剖切面，矢切面|矢切面||محور منطقة تشريحية، سهمي|سهمي||Сагиттальная плоскость |Сагиттальная плоскость||557|168|01 - ANATOMICAL REGIONS - 04.jpg|01 - Anatomical Regions
Anatomical Plane, Coronal|Coronal Plane||Plano Anatómico, Coronal|Plano Coronal||Plan Anatomique, Coronal|Plan coronal||Piano Anatomico, Frontale|Piano Frontale||解剖切面，冠切面|冠切面||محور منطقة تشريحية، اكليلي|اكليلي||Фронтальная плоскость|фронтальная плоскость||1310|213|01 - ANATOMICAL REGIONS - 04.jpg|01 - Anatomical Regions
Anatomical Plane, Transverse|Transverse Plane||Plano Anatómico, Transversal|Plano Transversal||Plan Anatomique, Transversal|Plan transversal||Piano Anatomico, Trasversale|Piano Trasversale||解剖切面，横切面|横切面||محور منطقة تشريحية، عرضي|عرضي||Поперечная плоскость|Поперечная плоскость||71|657|01 - ANATOMICAL REGIONS - 04.jpg|01 - Anatomical Regions
Anatomical Cavity, Cranial|Cranial Cavity|Anatomical Cavities|Cavidad Anatómica, Craneal|Cavidad Craneal|Cavidades Anatómicas|Cavité anatomique, Crâne |Cavité cranienne|Cavités Anatomiques|Cavità Anatomica, Cranica|Cavità Cranica|Cavità Anatomiche|解剖腔，颅|颅腔|解剖腔|تجويف منطقة تشريحية، الجمجمة|الجمجمة|التجاويف التشريحية|Полость черепа|полость черепа|Анатомические Полости|341|534|01 - ANATOMICAL REGIONS - 05.jpg|01 - Anatomical Regions
